category,subcategory,factor_name_cn,factor_code_base,common_variants,input_data,construction_method,priority_for_replication,notes,construction_figure,construction_page
"动量反转","分段动量","下午盘动量","mmt_pm","o,m,std,z","分钟K线收益","仅使用下午盘交易时间收益/动量。","","","figures/figure_09_p008_图表9：动量反转类因子构建方式.png","pages/page_008.png"
"动量反转","分段动量","尾盘半小时动量","mmt_last30","o,m,std,z","分钟K线收益","仅使用尾盘30分钟收益/动量。","high","报告中 mmt_last30 在全市场表现突出。","figures/figure_09_p008_图表9：动量反转类因子构建方式.png","pages/page_008.png"
"动量反转","分段动量","上下午盘动量差","mmt_paratio","o,m,std,z","分钟K线收益","上午盘动量与下午盘动量之差。","","","figures/figure_09_p008_图表9：动量反转类因子构建方式.png","pages/page_008.png"
"动量反转","分段动量","上午盘动量","mmt_am","o,m,std,z","分钟K线收益","仅使用上午盘交易时间收益/动量。","","","figures/figure_09_p008_图表9：动量反转类因子构建方式.png","pages/page_008.png"
"动量反转","分段动量","去头尾动量","mmt_between","o,m,std,z","分钟K线收益","剔除开盘前30分钟和尾盘后30分钟后，计算中间交易时间动量。","","","figures/figure_09_p008_图表9：动量反转类因子构建方式.png","pages/page_008.png"
"动量反转","QRS动量","分钟QRS指标","mmt_ols_qrs","o,m,std,z","50根分钟K线最高价/最低价序列","在滚动50根分钟K线上计算QRS指标。","high","QRS由最高价和最低价回归相关的 beta 与 R2 组合而来。","figures/figure_09_p008_图表9：动量反转类因子构建方式.png","pages/page_008.png"
"动量反转","QRS动量","分钟QRS衍生回归R方","mmt_ols_corr_square_mean","o,m,std,z","50根分钟K线最高价/最低价序列","滚动50根分钟K线最高价与最低价相关系数平方的均值。","","","figures/figure_09_p008_图表9：动量反转类因子构建方式.png","pages/page_008.png"
"动量反转","QRS动量","分钟QRS衍生相关系数均值","mmt_ols_corr_mean","o,m,std,z","50根分钟K线最高价/最低价序列","滚动50根分钟K线最高价与最低价相关系数的均值。","","","figures/figure_09_p008_图表9：动量反转类因子构建方式.png","pages/page_008.png"
"动量反转","QRS动量","分钟QRS衍生beta均值","mmt_ols_beta_mean","o,m,std,z","50根分钟K线最高价/最低价序列","滚动50根分钟K线最高价与最低价回归系数 beta 的均值。","top","报告中重点推荐 mmt_ols_beta_mean_o，月度/周度均较强。","figures/figure_09_p008_图表9：动量反转类因子构建方式.png","pages/page_008.png"
"动量反转","QRS动量","分钟QRS衍生beta标准分","mmt_ols_beta_zscore_last","o,m,std,z","50根分钟K线最高价/最低价序列","滚动50根分钟K线最高价与最低价回归系数 beta 的标准分。","","","figures/figure_09_p008_图表9：动量反转类因子构建方式.png","pages/page_008.png"
"动量反转","量能动量","50顶量成交动量","mmt_top50VolumeRet","o,m,std,z","分钟K线收益和成交量","选成交量最高的50根K线，计算其收益率动量。","","","figures/figure_09_p008_图表9：动量反转类因子构建方式.png","pages/page_008.png"
"动量反转","量能动量","50底量成交动量","mmt_bottom50VolumeRet","o,m,std,z","分钟K线收益和成交量","选成交量最低的50根K线，计算其收益率动量。","","","figures/figure_09_p008_图表9：动量反转类因子构建方式.png","pages/page_008.png"
"动量反转","量能动量","20顶量成交动量","mmt_top20VolumeRet","o,m,std,z","分钟K线收益和成交量","选成交量最高的20根K线，计算其收益率动量。","high","沪深300可关注 top20 成交量K线收益类。","figures/figure_09_p008_图表9：动量反转类因子构建方式.png","pages/page_008.png"
"动量反转","量能动量","20底量成交动量","mmt_bottom20VolumeRet","o,m,std,z","分钟K线收益和成交量","选成交量最低的20根K线，计算其收益率动量。","","","figures/figure_09_p008_图表9：动量反转类因子构建方式.png","pages/page_008.png"
"波动率","传统波动","分钟成交量标准差","vol_volume1min","o,m,std,z","分钟K线成交量","计算日内分钟K线成交量的标准差。","","","figures/figure_16_p012_图表16：波动率因子构建方式_continued.png","pages/page_012.png"
"波动率","传统波动","分钟极比标准差","vol_range1min","o,m,std,z","分钟K线高低价","计算分钟K线最高值/最低值比值序列的标准差。","","","figures/figure_16_p012_图表16：波动率因子构建方式_continued.png","pages/page_012.png"
"波动率","传统波动","分钟收益率标准差","vol_return1min","o,m,std,z","分钟K线收盘价/收益","计算日内分钟收益率的标准差。","high","传统收益波动率基准。","figures/figure_16_p012_图表16：波动率因子构建方式_continued.png","pages/page_012.png"
"波动率","上下行波动","上行波动率","vol_upVol","o,m,std,z","分钟K线收益","使用日内分钟级数据计算分钟级上行波动率。","top","报告中 vol_upVol_std 最值得优先复现。","figures/figure_16_p012_图表16：波动率因子构建方式_continued.png","pages/page_012.png"
"波动率","上下行波动","上行波动率占比","vol_upRatio","o,m,std,z","分钟K线收益","计算分钟级上行波动占总波动的比例。","","","figures/figure_16_p012_图表16：波动率因子构建方式_continued.png","pages/page_012.png"
"波动率","上下行波动","下行波动率","vol_downVol","o,m,std,z","分钟K线收盘价/收益","使用日内分钟K线收盘数据计算分钟级下行波动率。","","","figures/figure_16_p012_图表16：波动率因子构建方式_continued.png","pages/page_012.png"
"波动率","上下行波动","下行波动率占比","vol_downRatio","o,m,std,z","分钟K线收益","计算分钟级下行波动占总波动的比例。","high","可与 vol_upVol 对照。","figures/figure_16_p012_图表16：波动率因子构建方式_continued.png","pages/page_012.png"
"高阶特征","收益分布形状","分钟收益率偏度","shape_skew","o,m,std,z","分钟K线收益","计算分钟K线收益率分布的偏度。","top","报告中 shape_skew_m 和 shape_skew_std 表现较好。","figures/figure_23_p017_图表23：高阶特征因子构建方式_continued.png","pages/page_017.png"
"高阶特征","收益分布形状","分钟收益率峰度","shape_kurt","o,m,std,z","分钟K线收益","计算分钟K线收益率分布的峰度。","high","沪深300可关注 shape_kurt_std。","figures/figure_23_p017_图表23：高阶特征因子构建方式_continued.png","pages/page_017.png"
"高阶特征","收益分布形状","分钟收益率峰度偏度比","shape_skratio","o,m,std,z","分钟K线收益","计算分钟K线收益率偏度和峰度的比值。","high","shape_skratio_m 在多个选股域表现较稳。","figures/figure_23_p017_图表23：高阶特征因子构建方式_continued.png","pages/page_017.png"
"高阶特征","量比分布形状","分钟量比偏度","shape_skewVol","o,m,std,z","分钟K线成交量占比","计算分钟K线成交量占比分布的偏度。","","","figures/figure_23_p017_图表23：高阶特征因子构建方式_continued.png","pages/page_017.png"
"高阶特征","量比分布形状","分钟量比峰度","shape_kurtVol","o,m,std,z","分钟K线成交量占比","计算分钟K线成交量占比分布的峰度。","","","figures/figure_23_p017_图表23：高阶特征因子构建方式_continued.png","pages/page_017.png"
"高阶特征","量比分布形状","分钟量比峰度偏度比","shape_skratioVol","o,m,std,z","分钟K线成交量占比","计算分钟K线成交量占比分布的偏度和峰度比值。","","","figures/figure_23_p017_图表23：高阶特征因子构建方式_continued.png","pages/page_017.png"
"流动性","价格弹性","Amihud非流动性因子","liq_amihud_1min","o,m,std,z","1分钟K线收益和成交额/成交量","使用日内分钟级别数据构建 Amihud 非流动性因子。","top","报告中 liq_amihud_1min_o 在多个选股域稳定。","figures/figure_30_p022_图表30：流动性因子构建方式_continued.png","pages/page_022.png"
"流动性","价格弹性","卖盘深度前15分钟占比","liq_askDepthCct","o,m,std,z","tick级盘口深度","计算开盘15分钟内卖盘深度和占全日市场交易深度之和比例，并计算前四档深度集中度。","","","figures/figure_30_p022_图表30：流动性因子构建方式_continued.png","pages/page_022.png"
"流动性","价格弹性","盘口深度前15分钟占比","liq_avgDepthCct","o,m,std,z","tick级盘口深度","计算开盘约15分钟内平均盘口深度和占全日市场交易深度之和比例，并计算前四档深度集中度。","high","价差深度类代表。","figures/figure_30_p022_图表30：流动性因子构建方式_continued.png","pages/page_022.png"
"流动性","价格弹性","买盘深度前15分钟占比","liq_bidDepthCct","o,m,std,z","tick级盘口深度","计算开盘约15分钟内买盘深度和占全日市场交易深度之和比例，并计算前四档深度集中度。","","","figures/figure_30_p022_图表30：流动性因子构建方式_continued.png","pages/page_022.png"
"流动性","集合竞价","集合竞价前成交量","liq_closeprevol","o,m,std,z","tick/集合竞价成交量","计算集合竞价前成交量。","high","与收盘前成交量相关因子多空较好。","figures/figure_30_p022_图表30：流动性因子构建方式_continued.png","pages/page_022.png"
"流动性","集合竞价","收盘前3分钟成交量","liq_closevol","o,m,std,z","tick/分钟成交量","计算收盘前3分钟成交量。","high","沪深300可关注 liq_closevol_z。","figures/figure_30_p022_图表30：流动性因子构建方式_continued.png","pages/page_022.png"
"流动性","价格弹性","有效深度前15分钟占比","liq_effDepthCct","o,m,std,z","tick级盘口深度","计算开盘约15分钟内有效盘口深度和占全日市场交易深度之和比例，并计算前四档深度集中度。","","","figures/figure_30_p022_图表30：流动性因子构建方式_continued.png","pages/page_022.png"
"流动性","集合竞价","开盘集合竞价成交量占比","liq_firstCallR","o,m,std,z","tick/集合竞价成交量","计算上午开盘9:25前集合竞价总成交量占全天成交量的比例。","high","周度 liq_firstCallR_o/m 表现较好。","figures/figure_30_p022_图表30：流动性因子构建方式_continued.png","pages/page_022.png"
"流动性","集合竞价","收盘集合竞价成交量占比","liq_lastCallR","o,m,std,z","tick/集合竞价成交量","计算下午收盘前14:57-15:00集合竞价总成交量占全天成交量的比例。","","","figures/figure_30_p022_图表30：流动性因子构建方式_continued.png","pages/page_022.png"
"流动性","集合竞价","开盘集合竞价成交量","liq_openvol","o,m,std,z","tick/集合竞价成交量","计算开盘集合竞价成交量。","","","figures/figure_30_p022_图表30：流动性因子构建方式_continued.png","pages/page_022.png"
"流动性","价格弹性","盘口价差","liq_spread","std,o,m,z","tick级买一卖一价","计算买一价与卖一价的价差，再除以买一价和卖一价的算术平均值。","high","报告中 liq_spread_std 有效性领先。","figures/figure_30_p022_图表30：流动性因子构建方式_continued.png","pages/page_022.png"
"量价相关性","价量同步","分钟收益率与成交量相关系数","corr_prv","o,m,std,z","分钟收益率和成交量","计算分钟收益率与成交量的同期相关系数。","high","价量同步类代表。","figures/figure_37_p027_图表37：量价相关性因子构建方式.png","pages/page_027.png"
"量价相关性","价量同步","分钟收益率与成交量变化率相关系数","corr_prvr","o,m,std,z","分钟收益率和成交量变化率","计算分钟收益率与成交量变化率的同期相关系数。","high","报告中 corr_prvr_std 有效。","figures/figure_37_p027_图表37：量价相关性因子构建方式.png","pages/page_027.png"
"量价相关性","价量同步","分钟收盘价与成交量相关系数","corr_pv","o,m,std,z","分钟收盘价和成交量","计算分钟收盘价与成交量的同期相关系数。","top","corr_pv_m/std 周度表现突出。","figures/figure_37_p027_图表37：量价相关性因子构建方式.png","pages/page_027.png"
"量价相关性","领先滞后","分钟收盘价与滞后成交量相关系数","corr_pvd","o,m,std,z","分钟收盘价和滞后成交量","计算分钟收盘价与滞后成交量的异步相关系数。","","","figures/figure_37_p027_图表37：量价相关性因子构建方式.png","pages/page_027.png"
